id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Clca3a2	1	1	1	3	143	87	118	129	0.0086956522	0.016194332	-2.0606978404	-1.7906369619
Cilp	5	2	1	3	141	131	111	136	0.0257352941	0.016194332	-1.589470864	-1.7906369619
Mir124-2hg	7	2	2	2	131	111	91	156	0.0371900826	0.016194332	-1.4295728565	-1.7906369619
Gja5	17	38	31	23	1843	1514	1515	1816	0.0163836759	0.0162113479	-1.7855886518	-1.7901808729
Gm12962	11	7	1	8	311	231	263	292	0.0332103321	0.0162162162	-1.4787267814	-1.7900504737
Myh6	8	6	2	5	228	168	165	266	0.0353535354	0.0162412993	-1.4515671502	-1.7893792301
Slc25a21	157	128	98	49	4574	3743	3914	5128	0.0342671636	0.0162574652	-1.4651218415	-1.788947168
RP23-269K2.1	2	5	5	11	578	418	368	616	0.0070281124	0.0162601626	-2.1531612984	-1.7888751158
Gm21483	2	7	1	5	186	294	228	141	0.01875	0.0162601626	-1.7269987279	-1.7888751158
Bves	1	8	7	2	317	244	227	326	0.0160427807	0.0162748644	-1.7947203518	-1.7884826219
Oit1	5	8	2	7	258	212	256	297	0.0276595745	0.0162748644	-1.5581545056	-1.7884826219
Gm29116	12	16	8	6	636	556	469	391	0.0234899329	0.0162790698	-1.6291182241	-1.7883704156
Tns1	69	143	311	57	8142	17549	15171	7417	0.008251917	0.0162918364	-2.0834451482	-1.7880299604
Slc26a9	4	4	3	5	269	213	233	258	0.0165975104	0.016293279	-1.7799570512	-1.7879915051
Pknox2	19	39	59	18	2555	1915	2161	2563	0.0129753915	0.016299746	-1.8868795296	-1.7878191638
A231177H16Rik	5	7	12	11	769	516	598	813	0.0093385214	0.0163004961	-2.0297218816	-1.7877991777
4931578C19Rik	7	1	3	3	218	164	174	194	0.0209424084	0.0163043478	-1.6789733759	-1.7876965683
Ppp1r42	5	2	3	7	357	235	276	337	0.0118243243	0.0163132137	-1.9272236667	-1.7874604745
Gm45141	9	14	7	3	181	471	388	225	0.0352760736	0.0163132137	-1.4525197597	-1.7874604745
Crym	18	16	13	14	1455	1412	931	724	0.0118590862	0.0163141994	-1.9259487759	-1.787434234
Ppp2r1b	11	15	28	14	1179	1324	1593	981	0.010387535	0.0163170163	-1.9834875016	-1.7873592522
Slc1a1	16	21	11	11	762	538	587	759	0.0284615385	0.0163447251	-1.5457416282	-1.7866223791
2711189I24Rik	7	4	6	11	561	353	462	578	0.0120350109	0.0163461538	-1.9195535106	-1.7865844179
Slc27a6	11	2	1	12	476	291	296	499	0.0169491525	0.0163522013	-1.7708520116	-1.7864237763
RP23-113O7.2	1	4	4	3	236	155	174	254	0.0127877238	0.0163551402	-1.8932067531	-1.786345729
4921539H17Rik	6	5	11	5	613	454	462	516	0.0103092784	0.0163599182	-1.9867717343	-1.7862188721
Slc6a4	11	6	1	9	337	339	255	356	0.025147929	0.0163666121	-1.5994977746	-1.7860412102
Dctd	6	9	8	6	488	362	342	513	0.0176470588	0.016374269	-1.7533276667	-1.785838079
Slc28a1	2	3	9	7	529	455	439	538	0.0050813008	0.0163766633	-2.2940250941	-1.7857745811
Pop5	11	11	15	13	847	969	1158	551	0.0121145374	0.0163838502	-1.9166931634	-1.7855840314
Reep1	18	38	15	21	1165	962	998	1199	0.0263281617	0.0163859809	-1.5795794629	-1.7855275562
Gm4419	4	6	2	16	618	421	474	624	0.0096246391	0.0163934426	-2.0166155476	-1.785329835
1711111N18Rik	1	1	1	1	73	51	54	68	0.0161290323	0.0163934426	-1.7923916895	-1.785329835
Gm6325	1	1	1	1	58	58	41	81	0.0172413793	0.0163934426	-1.7634279936	-1.785329835
Gm14696	2	2	1	1	46	39	53	69	0.0470588235	0.0163934426	-1.3273589344	-1.785329835
Etfbkmt	8	53	29	21	1127	3131	1856	1192	0.0143259746	0.0164041995	-1.8438758221	-1.7850449583
Gm13944	7	16	5	12	431	951	349	687	0.016642547	0.0164092664	-1.778780207	-1.784910834
Gm12182	1	4	1	12	419	265	331	461	0.0073099415	0.0164141414	-2.1360860974	-1.7847818293
Grik5	14	34	16	8	872	1112	737	725	0.0241935484	0.0164158687	-1.6163004304	-1.7847361309
Skor2	11	5	11	1	365	289	315	416	0.0244648318	0.0164158687	-1.6114577657	-1.7847361309
Mfsd4a	7	12	15	17	1118	1191	1131	818	0.0082286704	0.0164186762	-2.084670332	-1.7846618608
Gm44532	7	4	5	4	313	241	237	311	0.0198555957	0.0164233577	-1.7021170796	-1.784538049
Unc45a	12	8	8	18	791	882	965	618	0.0119545726	0.0164245104	-1.9224659453	-1.7845075669
Cyp4f39	6	2	2	6	254	226	251	236	0.0166666667	0.0164271047	-1.7781512504	-1.7844389742
Agrp	22	35	33	25	1693	1957	2165	1363	0.0156164384	0.0164399093	-1.8064180088	-1.7841005829
RP23-61O19.1	8	3	3	13	517	371	431	541	0.0123873874	0.0164609053	-1.9070202806	-1.7835462823
Olfr872	7	4	1	3	198	77	112	131	0.04	0.0164609053	-1.3979400087	-1.7835462823
Fsip2	5	4	5	9	461	331	391	459	0.0113636364	0.0164705882	-1.9444826722	-1.78329089
Slc15a2	7	3	4	8	482	316	365	363	0.0125313283	0.0164835165	-1.9020028914	-1.7829501333
Dcst1	15	7	4	1	147	171	147	156	0.0691823899	0.0165016502	-1.1600044392	-1.7824726242
Nphs1	5	1	5	4	244	186	229	316	0.0139534884	0.0165137615	-1.8553172052	-1.7821539928
Sfrp1	8	7	5	6	328	259	243	423	0.0255536627	0.0165165165	-1.5925468422	-1.782081544
Tmem31c	5	11	3	3	197	126	182	181	0.0495356037	0.0165289256	-1.3050825397	-1.7817553747
Cux1	95	112	99	61	4978	4888	5155	4518	0.0209811474	0.016540887	-1.6781707657	-1.7814412051
Nrg3os	7	1	7	7	475	314	361	485	0.010139417	0.0165484634	-1.9939870162	-1.7812423274
Asb14	2	4	1	6	226	223	231	192	0.013363029	0.0165484634	-1.8740950906	-1.7812423274
Adgrf1	82	122	7	7	854	578	363	483	0.1424581006	0.0165484634	-0.8463128505	-1.7812423274
Cfap71	4	5	7	8	511	359	437	469	0.0103448276	0.0165562914	-1.9852767432	-1.7810369386
